Fold,Model,Accuracy,Sensitivity,Specificity,MCC,ROC_AUC,PR_AUC,Top10_Recall,Top10_EF,Top20_Recall,Top20_EF
1,RF,0.8679245283018868,0.35294117647058826,0.9662921348314607,0.42026240828800515,0.8155981493721085,0.5569543893236608,0.35294117647058826,3.7411764705882353,0.47058823529411764,2.494117647058823
1,SVM,0.8207547169811321,0.4117647058823529,0.898876404494382,0.3184176610351147,0.7191011235955057,0.40107574258221634,0.23529411764705882,2.494117647058823,0.4117647058823529,2.1823529411764704
1,KNN,0.2169811320754717,1.0,0.06741573033707865,0.10705453823777566,0.5941837409120951,0.265254215384397,0.11764705882352941,1.2470588235294116,0.11764705882352941,0.6235294117647058
1,XGB,0.8207547169811321,0.47058823529411764,0.8876404494382022,0.35010816070897804,0.7673496364838069,0.43947277174799076,0.35294117647058826,3.7411764705882353,0.47058823529411764,2.494117647058823
2,RF,0.6761904761904762,0.275,0.9230769230769231,0.26764896013245165,0.8784615384615383,0.7440156615092592,0.175,1.8375,0.35,1.8375
2,SVM,0.8285714285714286,0.65,0.9384615384615385,0.6325771464049631,0.9115384615384615,0.7908652325212201,0.175,1.8375,0.4,2.1
2,KNN,0.8095238095238095,0.775,0.8307692307692308,0.6004805767690767,0.8757692307692307,0.7986447305440977,0.225,2.3625000000000003,0.425,2.23125
2,XGB,0.8095238095238095,0.6,0.9384615384615385,0.5913123959890826,0.9273076923076923,0.8225500282135626,0.175,1.8375,0.425,2.23125
3,RF,0.839622641509434,0.7692307692307693,0.8625,0.5975196872697484,0.934375,0.7357355260568824,0.3076923076923077,3.2615384615384615,0.6153846153846154,3.2615384615384615
3,SVM,0.8584905660377359,0.8076923076923077,0.875,0.645721427643107,0.935576923076923,0.7506225281338403,0.2692307692307692,2.8538461538461535,0.6153846153846154,3.2615384615384615
3,KNN,0.3113207547169811,0.9230769230769231,0.1125,0.05019285589086037,0.7086538461538462,0.5550707203931066,0.3076923076923077,3.2615384615384615,0.38461538461538464,2.0384615384615383
3,XGB,0.8773584905660378,0.9230769230769231,0.8625,0.7187157931134539,0.9158653846153846,0.6345188446139807,0.23076923076923078,2.446153846153846,0.5,2.65
4,RF,0.8584905660377359,0.5,0.9871794871794872,0.6162387235199919,0.9091117216117217,0.8508299379357105,0.32142857142857145,3.407142857142857,0.6428571428571429,3.407142857142857
4,SVM,0.8962264150943396,0.6785714285714286,0.9743589743589743,0.7222276287038373,0.8869047619047619,0.7943489953759871,0.32142857142857145,3.407142857142857,0.6428571428571429,3.407142857142857
4,KNN,0.49056603773584906,0.5357142857142857,0.47435897435897434,0.008896462411136109,0.5508241758241758,0.3417179999888112,0.14285714285714285,1.514285714285714,0.32142857142857145,1.7035714285714285
4,XGB,0.8679245283018868,0.6071428571428571,0.9615384615384616,0.6408126190047262,0.9084249084249085,0.84314187288574,0.35714285714285715,3.7857142857142856,0.6071428571428571,3.2178571428571425
5,RF,0.8867924528301887,0.8,0.9295774647887324,0.7409965868641235,0.9567404426559356,0.9197646751890315,0.2857142857142857,3.028571428571428,0.5428571428571428,2.877142857142857
5,SVM,0.8584905660377359,0.8,0.8873239436619719,0.6825341714146405,0.9380281690140845,0.8918967994090229,0.2857142857142857,3.028571428571428,0.5142857142857142,2.725714285714285
5,KNN,0.5849056603773585,0.9428571428571428,0.4084507042253521,0.363194755363949,0.8209255533199195,0.6563768835953044,0.17142857142857143,1.817142857142857,0.42857142857142855,2.2714285714285714
5,XGB,0.8679245283018868,0.7714285714285715,0.9154929577464789,0.6976730136663314,0.9364185110663984,0.826775072954249,0.2571428571428571,2.725714285714285,0.45714285714285713,2.4228571428571426
